Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money,BasePolity,Percent_CCs_imputed,CCs_imputed,CC_PolPop_Regression_x0,CC_PolPop_Regression_x1,CC_PolPop_Regression_x2,CC_PolTerr_Regression_x0,CC_PolTerr_Regression_x1,CC_PolTerr_Regression_x2,CC_CapPop_Regression_x0,CC_CapPop_Regression_x1,CC_CapPop_Regression_x2,CC_Hier_Regression_x0,CC_Hier_Regression_x1,CC_Hier_Regression_x2,CC_Govt_Regression_x0,CC_Govt_Regression_x1,CC_Govt_Regression_x2,CC_Infra_Regression_x0,CC_Infra_Regression_x1,CC_Infra_Regression_x2,CC_Writing_Regression_x0,CC_Writing_Regression_x1,CC_Writing_Regression_x2,CC_Texts_Regression_x0,CC_Texts_Regression_x1,CC_Texts_Regression_x2,CC_Money_Regression_x0,CC_Money_Regression_x1,CC_Money_Regression_x2
IrAchae-500,"['Kachi Plain', 'Konya Plain', 'Sogdiana', 'Susiana', 'Upper Egypt']",Achaemenid Empire,-500,-400,20000000,5500000,200000,6,7,3,5,2700,,1,1,1,1,1,1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,20,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,7,0.1,1,1,-500,"['42R', '36S', '42S', '39R', '36R']","['South Asia', 'Southwest Asia', 'Central Eurasia', 'Africa']",Susa,confederate state,Egyptian,language isolate,Median Empire,continuity,Macedonian Empire,Persian,2500000,none,moralizing,,,,,sip,not applicable,yearly,yearly,mourning of the king,once in a lifetime,once in a lifetime,once in a lifetime,sip,not applicable,yearly,yearly,lan,monthly,monthly,monthly,lan,monthly,monthly,monthly,,7.30102999566398,6.74036268949424,5.30102999566398,5,1,1,4,1,5,IrAchae,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,29.5700992217207,29.2041199826559,0,27.2993253879383,26.961450757977,0,21.4698450824329,21.2041199826559,0,20.2506353482195,20,0,4.05012706964389,4,0,4.05012706964389,4,0,16.2005082785756,16,0,4.05012706964389,4,0,20.2506353482195,20
IrAchae-400,"['Kachi Plain', 'Konya Plain', 'Sogdiana', 'Susiana', 'Upper Egypt']",Achaemenid Empire,-400,-300,17000000,3800000,200000,6,7,3,5,2700,,1,1,1,1,1,1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,20,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,7,0.1,1,1,-500,"['42R', '36S', '42S', '39R', '36R']","['South Asia', 'Southwest Asia', 'Central Eurasia', 'Africa']",Susa,confederate state,Egyptian,language isolate,Median Empire,continuity,Macedonian Empire,Persian,2500000,none,moralizing,,,,,sip,not applicable,yearly,yearly,mourning of the king,once in a lifetime,once in a lifetime,once in a lifetime,sip,not applicable,yearly,yearly,lan,monthly,monthly,monthly,lan,monthly,monthly,monthly,,7.23044892137827,6.57978359661681,5.30102999566398,5,1,1,4,1,5,IrAchae,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",7.30102999566398,29.1053759088705,28.9217956855131,6.74036268949424,26.4861942959479,26.3191343864672,5.30102999566398,21.338712492915,21.2041199826559,5,20.1269493950884,20,1,4.02538987901769,4,1,4.02538987901769,4,4,16.1015595160708,16,1,4.02538987901769,4,5,20.1269493950884,20
IrAchae-300,"['Kachi Plain', 'Konya Plain', 'Sogdiana', 'Susiana', 'Upper Egypt']",Achaemenid Empire,-300,-200,17000000,3800000,200000,6,7,3,5,2700,,1,1,1,1,1,1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,20,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,7,0.1,1,1,-500,"['42R', '36S', '42S', '39R', '36R']","['South Asia', 'Southwest Asia', 'Central Eurasia', 'Africa']",Susa,confederate state,Egyptian,language isolate,Median Empire,continuity,Macedonian Empire,Persian,2500000,none,moralizing,,,,,sip,not applicable,yearly,yearly,mourning of the king,once in a lifetime,once in a lifetime,once in a lifetime,sip,not applicable,yearly,yearly,lan,monthly,monthly,monthly,lan,monthly,monthly,monthly,,7.23044892137827,6.57978359661681,5.30102999566398,5,1,1,4,1,5,IrAchae,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",14.5314789170423,65.2644070378215,28.9217956855131,13.3201462861111,59.3912880845748,26.3191343864672,10.602059991328,47.8488380346329,21.2041199826559,10,45.1316424107874,20,2,9.02632848215747,4,2,9.02632848215747,4,8,36.1053139286299,16,2,9.02632848215747,4,10,45.1316424107874,20
InMaury-300,"['Deccan', 'Kachi Plain']",Mauryan Empire,-300,-200,100000000,4000000,270000,7,7,1,4,1850,,,1,1,1,0,0,cattle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,,,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,1,1,1,-250,"['43P', '42R']",['South Asia'],Pataliputra,unitary state,Sanskrit,Indo-European,Nanda Empire,continuity,Shunga Empire,Hinduism,1700000,none,inactive,1,1,0.1,Ajivika,,,,,,,,,,,,,,,,,,,,,Hinduism,8,6.60205999132796,5.43136376415899,4,0.727272727272727,1,4,0.888888888888889,5,InMaury,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,8.14669025306876,28,0,6.72311722269085,23.1072099696479,0,5.53095477979311,19.0097731745565,0,4.07334512653438,14,0,0.740608204824433,2.54545454545454,0,1.0183362816336,3.5,0,4.07334512653438,14,0,0.905187805896529,3.11111111111111,0,5.09168140816798,17.5
GrMaced-300,"['Kachi Plain', 'Konya Plain', 'Sogdiana', 'Susiana', 'Upper Egypt']",Macedonian Empire,-300,-200,20000000,4400000,20000,5,5,2,5,4500,,0,1,,1,0,0,land,,,,,1,,,,1,1,,1,1,1,1,1,1,,,,1,1,1,,1,1,,1,,,1,1,1,,1,1,1,1,1,1,0,1,1,1,,,1,1,1,1,,,1,1,,,,,,,,,-325,"['42R', '36S', '42S', '39R', '36R']","['South Asia', 'Southwest Asia', 'Central Eurasia', 'Africa']",Pella,confederated state,Ancient Greek,Indo-European,Achaemenid Empire,,,,,none,,,,,,Xandikas,yearly,yearly,yearly,symposia,not applicable,monthly,monthly,symposia,not applicable,monthly,monthly,King's Sacrifice,daily,daily,daily,Public Sacrifice,,,,,7.30102999566398,6.64345267648619,4.30102999566398,4,0.272727272727273,0.888888888888889,4,0.555555555555556,5,GrMaced,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,65.9014949989478,41.9809224750679,0,59.9659861136326,38.1998528897956,0,38.8225095524754,24.7309224750679,0,36.1053139286299,23,0,2.46172594967931,1.56818181818182,0,8.02340309525109,5.11111111111111,0,36.1053139286299,23,0,5.01462693453193,3.19444444444444,0,45.1316424107874,28.75
AfGrBct-200,"['Kachi Plain', 'Sogdiana']",Greco-Bactrian Kingdom,-200,-100,1500000,600000,25000,5,5,1,3,600,,,1,1,1,0.1,0.1,land,1,,1,,1,1,0.1,1,1,1,1,1,1,1,1,1,1,,,35,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,0.1,,1,-180,"['42R', '42S']","['South Asia', 'Central Eurasia']",Bactra,unitary state,Bactrian,Indo-European,Seleucid Empire,continuity,Sakas,Greek,4500000,alliance,moralizing,0,1,,,civic festival,,,,,,,,civic festival,,,,Yasna,daily,daily,daily,Yasna,daily,daily,daily,,6.17609125905568,5.77815125038364,4.39794000867204,3,0.563636363636364,0.9,4,1,5,AfGrBct,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",21.7619278384205,37.4121892524373,27.7924106657506,19.8999298827279,35.0016343737791,26.0016806267264,15.9030899869919,26.6408893625159,19.7907300390242,15,18.1727508628933,13.5,3,3.41427440454358,2.53636363636364,3,5.45182525886798,4.05,12,24.2303344838577,18,3,6.05758362096442,4.5,15,30.2879181048221,22.5
GrMaced-200,"['Kachi Plain', 'Konya Plain', 'Sogdiana', 'Susiana', 'Upper Egypt']",Macedonian Empire,-200,-100,20000000,4400000,20000,5,5,2,5,4500,,0,1,,1,0,0,land,,,,,1,,,,1,1,,1,1,1,1,1,1,,,,1,1,1,,1,1,,1,,,1,1,1,,1,1,1,1,1,1,0,1,1,1,,,1,1,1,1,,,1,1,,,,,,,,,-325,"['42R', '36S', '42S', '39R', '36R']","['South Asia', 'Southwest Asia', 'Central Eurasia', 'Africa']",Pella,confederated state,Ancient Greek,Indo-European,Achaemenid Empire,,,,,none,,,,,,Xandikas,yearly,yearly,yearly,symposia,not applicable,monthly,monthly,symposia,not applicable,monthly,monthly,King's Sacrifice,daily,daily,daily,Public Sacrifice,,,,,7.30102999566398,6.64345267648619,4.30102999566398,4,0.272727272727273,0.888888888888889,4,0.555555555555556,5,GrMaced,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,44.2265997179041,49.2819524707319,0,40.243270119735,44.8433055662818,0,26.0538488550108,29.0319524707319,0,24.2303344838577,27,0,1.65206826026302,1.84090909090909,0,5.3845187741906,6,0,24.2303344838577,27,0,3.36532423386912,3.75,0,30.2879181048221,33.75
InMaury-200,"['Deccan', 'Kachi Plain']",Mauryan Empire,-200,-100,100000000,4000000,270000,7,7,1,4,1850,,,1,1,1,0,0,cattle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,,,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,1,1,1,-250,"['43P', '42R']",['South Asia'],Pataliputra,unitary state,Sanskrit,Indo-European,Nanda Empire,continuity,Shunga Empire,Hinduism,1700000,none,inactive,1,1,0.1,Ajivika,,,,,,,,,,,,,,,,,,,,,Hinduism,8,6.60205999132796,5.43136376415899,4,0.727272727272727,1,4,0.888888888888889,5,InMaury,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,8.21088976092182,36,0,6.7760983479733,29.7092699609758,0,5.57454113987185,24.4411369387154,0,4.10544488046091,18,0,0.746444523720166,3.27272727272727,0,1.02636122011523,4.5,0,4.10544488046091,18,0,0.912321084546869,4,0,5.13180610057614,22.5
IrPart1-100,"['Kachi Plain', 'Susiana']",Parthian Empire,-100,0,5450000,2000000,300000,5,6,3,4,940,,,0.1,1,1,0,0,land,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,91.5,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,,6,0.1,1,1,-120,"['42R', '39R']","['South Asia', 'Southwest Asia']",Ctesiphon,confederated state,Pahlavi,Indo-European,Confederacy of the Dahae,elite migration,Sassanid Empire,Greco-Bactrian,3500000,alliance,moralizing,,,,,Nowruz,not applicable,yearly,yearly,Zoroastrian mortuary ritual,,weekly,,Nowruz,not applicable,yearly,yearly,Yasna,daily,daily,daily,Yasna,daily,daily,daily,,6.73639650227664,6.30102999566398,5.47712125471966,4.33333333333333,0.554545454545455,1,4,1,5,IrPart1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",27.9380190974762,20.4317297976401,26.9455860091066,25.6780811331115,19.1112477234264,25.2041199826559,20.301029995664,16.6123032555348,21.9084850188786,18,13.1431538746051,17.3333333333333,3.56363636363636,1.68195605528164,2.21818181818182,3.9,3.03303550952426,4,16,12.132142038097,16,4,3.03303550952426,4,20,15.1651775476213,20
InMaury-100,"['Deccan', 'Kachi Plain']",Mauryan Empire,-100,0,100000000,4000000,270000,7,7,1,4,1850,,,1,1,1,0,0,cattle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,,,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,,1,1,1,-250,"['43P', '42R']",['South Asia'],Pataliputra,unitary state,Sanskrit,Indo-European,Nanda Empire,continuity,Shunga Empire,Hinduism,1700000,none,inactive,1,1,0.1,Ajivika,,,,,,,,,,,,,,,,,,,,,Hinduism,8,6.60205999132796,5.43136376415899,4,0.727272727272727,1,4,0.888888888888889,5,InMaury,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,16.3018268510327,32,0,13.4532048548449,26.4082399653118,0,11.0676439560366,21.7254550566359,0,8.15091342551636,16,0,1.48198425918479,2.90909090909091,0,2.03772835637909,4,0,8.15091342551636,16,0,1.81131409455919,3.55555555555556,0,10.1886417818955,20
