Temperoculture,Unnamed: 0,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money,BasePolity,Percent_CCs_imputed,CCs_imputed,CC_PolPop_Regression_x0,CC_PolPop_Regression_x1,CC_PolPop_Regression_x2,CC_PolTerr_Regression_x0,CC_PolTerr_Regression_x1,CC_PolTerr_Regression_x2,CC_CapPop_Regression_x0,CC_CapPop_Regression_x1,CC_CapPop_Regression_x2,CC_Hier_Regression_x0,CC_Hier_Regression_x1,CC_Hier_Regression_x2,CC_Govt_Regression_x0,CC_Govt_Regression_x1,CC_Govt_Regression_x2,CC_Infra_Regression_x0,CC_Infra_Regression_x1,CC_Infra_Regression_x2,CC_Writing_Regression_x0,CC_Writing_Regression_x1,CC_Writing_Regression_x2,CC_Texts_Regression_x0,CC_Texts_Regression_x1,CC_Texts_Regression_x2,CC_Money_Regression_x0,CC_Money_Regression_x1,CC_Money_Regression_x2
AfAfshr+1800,0,"['Kachi Plain', 'Susiana']",Afsharid Dynasty,1800,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['42R', '39R']","['South Asia', 'Southwest Asia']",,,,,,,,,,,,,,,,Nowruz,not applicable,yearly,yearly,Ashura,yearly,yearly,yearly,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,6.398356691694204,5.8101010410951766,4.827149575591032,4.12101418609163,0.5881085736405721,0.8205614224487994,4.192033179074296,0.9029532305862766,4.2796667312214405,AfAfshr,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
AfAfshr+1900,1,"['Kachi Plain', 'Susiana']",Afsharid Dynasty,1900,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['42R', '39R']","['South Asia', 'Southwest Asia']",,,,,,,,,,,,,,,,Nowruz,not applicable,yearly,yearly,Ashura,yearly,yearly,yearly,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,6.398356691694204,5.8101010410951766,4.827149575591032,4.12101418609163,0.5881085736405721,0.8205614224487994,4.192033179074296,0.9029532305862766,4.2796667312214405,AfAfshr,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
AfDurrn+1800,2,['Kachi Plain'],Durrani Empire,1800,1900,,1790000.0,,5,4.0,1.0,3.0,1089,,0.0,1.0,0.0,1.0,0.0,0.1,tribute,0.0,0.0,1.0,0.1,0.0,,0.0,,,0.1,,,1.0,1.0,,1.0,,,,,0.0,0.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,27.0,0.0,0.0,1.0,1760.0,['42R'],['South Asia'],Herat,loose,Persian,Indo-European,Afsharid Dynasty,continuity,Barkzai Dynasty,,,none,moralizing,1.0,1.0,1.0,Pashtunwali,Nauroz,yearly,yearly,yearly,,,,,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,5.136583851283061,,1.9391866135278208,,,,,,,AfDurrn,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,350.060536810568,7.402875269078947,18.75855909293968,,0.0,0.0,324.83333333333337,3.157118937505272,7.999999999999999,49.35454545454545,0.4520420296882548,1.1454545454545453,89.27777777777773,0.4077945294277645,1.0333333333333334,304.0,4.735678406257911,12.0,58.1111111111111,1.0523729791684246,2.666666666666667,482.0,7.103517609386863,18.0
AfDurrn+1900,3,['Kachi Plain'],Durrani Empire,1900,2000,,489000.0,,5,4.0,1.0,3.0,1089,,0.0,1.0,0.0,1.0,0.0,0.1,tribute,0.0,0.0,1.0,0.1,0.0,,0.0,,,0.1,,,1.0,1.0,,1.0,,,,,0.0,0.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,27.0,0.0,0.0,1.0,1760.0,['42R'],['South Asia'],Herat,loose,Persian,Indo-European,Afsharid Dynasty,continuity,Barkzai Dynasty,,,none,moralizing,1.0,1.0,1.0,Pashtunwali,Nauroz,yearly,yearly,yearly,,,,,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,5.4426784949638245,,2.07034220992073,,,,,,,AfDurrn,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,369.0226598025238,7.1606289322280965,12.80094493302815,,0.0,0.0,334.50000000000006,3.356297040425219,6.0,51.55454545454545,0.4805607126063381,0.859090909090909,91.1777777777777,0.43352170105492416,0.775,316.0,5.034445560637831,9.0,60.88888888888886,1.1187656801417405,2.0,498.0,7.551668340956741,13.5
AfGhurd+1100,4,['Kachi Plain'],Principality of Ghur,1100,1200,,,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,5.022805020158161,1.9929657037047606,1.9447114917937816,,,,,,,AfGhurd,0.3333333333333333,"[1, 1, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,,0.0,0.0,,0.0,0.0,247.8333333333334,2.581296736453799,4.5,34.44545454545453,0.586658349194045,1.0227272727272725,75.7222222222222,0.8604322454845995,1.5,220.0,5.162593472907598,9.0,37.888888888888886,1.1472429939794657,2.0,373.0,6.4532418411344965,11.25
AfGhurd+1200,5,['Kachi Plain'],Principality of Ghur,1200,1300,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,5.054535435633856,,1.711561773455565,,,,,,,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,243.14315997457658,8.528827200320938,17.06132995230379,,0.0,0.0,252.50000000000009,4.582345937948708,9.166666666666666,35.35454545454544,1.124757639314683,2.25,76.6111111111111,1.0692140521880322,2.1388888888888893,228.0,5.498815125538449,11.0,39.77777777777778,1.2219589167863223,2.4444444444444438,383.0,6.873518906923063,13.75
AfGhurd+1300,6,['Kachi Plain'],Principality of Ghur,1300,1400,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,5.3049123231874535,,1.6594639750661084,,,,,,,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,254.4962341002404,9.817608619993248,13.959269960975831,,0.0,0.0,258.50000000000006,5.274779043301923,7.499999999999997,36.62727272727271,1.2947184924468356,1.8409090909090908,77.6111111111111,1.230781776770449,1.75,236.0,6.329734851962308,9.0,41.66666666666666,1.406607744880513,2.0,393.0,7.912168564952884,11.25
AfGhurd+1400,7,['Kachi Plain'],Principality of Ghur,1400,1500,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,3.287071866253995,,-0.6603551814011928,,,,,,,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,289.0415325746044,15.595774650728071,26.36750992628768,,0.0,0.0,282.50000000000006,8.379256953082363,14.166666666666664,40.53636363636362,2.0567267066656716,3.4772727272727275,81.16666666666667,1.9551599557192187,3.305555555555556,260.0,10.05510834369884,17.0,47.55555555555554,2.234468520821965,3.7777777777777786,425.0,12.56888542962355,21.25
AfGhurd+1500,8,['Kachi Plain'],Principality of Ghur,1500,1600,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,4.935012713666277,,1.670006828893508,,,,,,,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,295.24565255726026,7.558041956233717,20.163389943631753,,0.0,0.0,285.83333333333337,4.0607649848610174,10.833333333333332,41.35454545454544,0.9967332235567956,2.659090909090909,81.94444444444444,0.9475118298009042,2.5277777777777777,264.0,4.872917981833222,13.0,48.444444444444436,1.0828706626296047,2.8888888888888893,430.0,6.091147477291527,16.25
AfGhurd+1600,9,['Kachi Plain'],Principality of Ghur,1600,1700,,1600000.0,,5,4.0,2.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,3.8934096658658617,,0.5010005745958814,,,,,,,AfGhurd,0.2222222222222222,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",,0.0,0.0,324.64199688861635,8.30153704894987,31.020599913279614,,0.0,0.0,310.83333333333337,4.4602280807793475,16.666666666666664,45.71818181818181,1.094783256191295,4.090909090909091,86.16666666666664,1.0407198855151814,3.888888888888889,288.0,5.3522736969352165,20.0,54.33333333333332,1.1893941548744924,4.4444444444444455,462.0,6.69034212116902,25.0
