,Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money
0,AfAfshr-1,"['Kachi Plain', 'Susiana']",Afsharid Dynasty,1735.0,1857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['42R', '39R']","['South Asia', 'Southwest Asia']",,,,,,,,,,,,,,,,Nowruz,not applicable,yearly,yearly,Ashura,yearly,yearly,yearly,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,,,,,,,,
2,AfDurrn-1,['Kachi Plain'],Durrani Empire,1746.0,1771.0,,,,5,4.0,1.0,3.0,1089,,0.0,1.0,0.0,1.0,0.0,0.1,tribute,0.0,0.0,1.0,0.1,0.0,,0.0,,,0.1,,,1.0,1.0,,1.0,,,,,0.0,0.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,27.0,0.0,0.0,1.0,1760.0,['42R'],['South Asia'],Herat,loose,Persian,Indo-European,Afsharid Dynasty,continuity,Barkzai Dynasty,,,none,moralizing,1.0,1.0,1.0,Pashtunwali,Nauroz,yearly,yearly,yearly,,,,,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,,,2.6666666666666665,0.3818181818181818,0.34444444444444444,4.0,0.8888888888888888,6.0
3,AfDurrn-2,['Kachi Plain'],Durrani Empire,1771.0,1799.0,,1792000,,5,4.0,1.0,3.0,1089,,0.0,1.0,0.0,1.0,0.0,0.1,tribute,0.0,0.0,1.0,0.1,0.0,,0.0,,,0.1,,,1.0,1.0,,1.0,,,,,0.0,0.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,27.0,0.0,0.0,1.0,1760.0,['42R'],['South Asia'],Herat,loose,Persian,Indo-European,Afsharid Dynasty,continuity,Barkzai Dynasty,,,none,moralizing,1.0,1.0,1.0,Pashtunwali,Nauroz,yearly,yearly,yearly,,,,,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.253338005326106,,2.6666666666666665,0.3818181818181818,0.34444444444444444,4.0,0.8888888888888888,6.0
4,AfDurrn-3,['Kachi Plain'],Durrani Empire,1799.0,1818.0,,1790000,,5,4.0,1.0,3.0,1089,,0.0,1.0,0.0,1.0,0.0,0.1,tribute,0.0,0.0,1.0,0.1,0.0,,0.0,,,0.1,,,1.0,1.0,,1.0,,,,,0.0,0.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,27.0,0.0,0.0,1.0,1760.0,['42R'],['South Asia'],Herat,loose,Persian,Indo-European,Afsharid Dynasty,continuity,Barkzai Dynasty,,,none,moralizing,1.0,1.0,1.0,Pashtunwali,Nauroz,yearly,yearly,yearly,,,,,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,6.252853030979893,,2.6666666666666665,0.3818181818181818,0.34444444444444444,4.0,0.8888888888888888,6.0
5,AfDurrn-4,['Kachi Plain'],Durrani Empire,1818.0,1825.0,,489000,,5,4.0,1.0,3.0,1089,,0.0,1.0,0.0,1.0,0.0,0.1,tribute,0.0,0.0,1.0,0.1,0.0,,0.0,,,0.1,,,1.0,1.0,,1.0,,,,,0.0,0.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,27.0,0.0,0.0,1.0,1760.0,['42R'],['South Asia'],Herat,loose,Persian,Indo-European,Afsharid Dynasty,continuity,Barkzai Dynasty,,,none,moralizing,1.0,1.0,1.0,Pashtunwali,Nauroz,yearly,yearly,yearly,,,,,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,5.689308859123621,,2.6666666666666665,0.3818181818181818,0.34444444444444444,4.0,0.8888888888888888,6.0
6,AfGhazn-1,['Sogdiana'],Ghaznavid Empire,,,,,,,,,,,,,,,,,,governed population,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1028.0,['42S'],['Central Eurasia'],,,,,Abbasids,,,,,,,,,,,Nowruz,not applicable,yearly,yearly,Ashura,yearly,yearly,yearly,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,,,,,,,1.0,
7,AfGhurd-1,['Kachi Plain'],Principality of Ghur,1024.0,1149.0,,,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,,,2.0,0.45454545454545453,0.6666666666666666,4.0,0.8888888888888888,5.0
8,AfGhurd-2,['Kachi Plain'],Principality of Ghur,1149.0,1174.0,,60000,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,4.778151250383644,,2.0,0.45454545454545453,0.6666666666666666,4.0,0.8888888888888888,5.0
9,AfGhurd-3,['Kachi Plain'],Principality of Ghur,1174.0,1190.0,,900000,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,5.954242509439325,,2.0,0.45454545454545453,0.6666666666666666,4.0,0.8888888888888888,5.0
10,AfGhurd-4,['Kachi Plain'],Principality of Ghur,1190.0,1191.0,,900000,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.1,1.0,1.0,,,,,1.0,1199.0,['42R'],['South Asia'],Firuzkuh,confederated state,Persian,Indo-European,,,,,,none,moralizing,1.0,1.0,1.0,Islam,Hajj,yearly,yearly,once in a lifetime,Arafat wuquf,not applicable,yearly,once in a lifetime,Id al Fitr,not applicable,yearly,yearly,salat al jum a,not applicable,weekly,weekly,salat al jum a,not applicable,weekly,weekly,,,5.954242509439325,,2.0,0.45454545454545453,0.6666666666666666,4.0,0.8888888888888888,5.0
