"NGA","Polity","Variable","Value.From","Value.To","Date.From","Date.To","Fact.Type","Value.Note","Date.Note"
"Latium","ItLatCA","Administrative levels","1","","","","simple","simple",""
"Latium","ItLatCA","Military levels","1","","","","simple","simple",""
"Latium","ItLatCA","Religious levels","1","","","","simple","simple",""
"Latium","ItLatCA","Settlement hierarchy","1","","","","simple","simple",""
"Latium","ItLatCA","Professional military officers","0","","","","simple","simple",""
"Latium","ItLatCA","Professional soldiers","0","","","","simple","simple",""
"Latium","ItLatCA","Professional priesthood","0.1","","","","simple","simple",""
"Latium","ItLatCA","Full-time bureaucrats","0","","","","simple","simple",""
"Latium","ItLatCA","Examination system","0","","","","simple","simple",""
"Latium","ItLatCA","Merit promotion","0","","","","simple","simple",""
"Latium","ItLatCA","Specialized government buildings","0","","","","simple","simple",""
"Latium","ItLatCA","Courts","0","","","","simple","simple",""
"Latium","ItLatCA","Formal legal code","0","","","","simple","simple",""
"Latium","ItLatCA","Judges","0","","","","simple","simple",""
"Latium","ItLatCA","Professional Lawyers","0","","","","simple","simple",""
"Latium","ItLatCA","irrigation systems","0.1","","","","simple","simple",""
"Latium","ItLatCA","drinking water supply systems","0","","","","simple","simple",""
"Latium","ItLatCA","markets","0.1","","","","simple","simple",""
"Latium","ItLatCA","food storage sites","0.1","","","","simple","simple",""
"Latium","ItLatCA","Roads","0","","","","simple","simple",""
"Latium","ItLatCA","Bridges","0","","","","simple","simple",""
"Latium","ItLatCA","Canals","0","","","","simple","simple",""
"Latium","ItLatCA","Ports","0","","","","simple","simple",""
"Latium","ItLatCA","Couriers","0","","","","simple","simple",""
"Latium","ItLatCA","Postal stations","0","","","","simple","simple",""
"Latium","ItLatCA","General postal service","0","","","","simple","simple",""
"Latium","ItLatCA","Nonwritten records","0.9","","","","simple","simple",""
"Latium","ItLatCA","Written records","0.1","","","","simple","simple",""
"Latium","ItLatCA","Script","0.1","","","","simple","simple",""
"Latium","ItLatCA","Non-phonetic writing","0.1","","","","simple","simple",""
"Latium","ItLatCA","Phonetic alphabetic writing","0.1","","","","simple","simple",""
"Latium","ItLatCA","Lists tables and classifications","0","","","","simple","simple",""
"Latium","ItLatCA","Calendar","0","","","","simple","simple",""
"Latium","ItLatCA","Sacred Texts","0.1","","","","simple","simple",""
"Latium","ItLatCA","Religious literature","0.1","","","","simple","simple",""
"Latium","ItLatCA","Practical literature","0.1","","","","simple","simple",""
"Latium","ItLatCA","History","0.1","","","","simple","simple",""
"Latium","ItLatCA","Philosophy","0.1","","","","simple","simple",""
"Latium","ItLatCA","Scientific literature","0.1","","","","simple","simple",""
"Latium","ItLatCA","Fiction","0.1","","","","simple","simple",""
"Latium","ItLatCA","Articles","0.9","","","","simple","simple",""
